stage,source_raw,base,lines,words,chars
clean,raw_0001.txt,0001,1477,52266,333390
clean,raw_0002.txt,0002,6019,171856,1037046
clean,raw_0003.txt,0003,652,15815,102309
clean,raw_0004.txt,0004,300,7379,48703
clean,raw_0005.txt,0005,459,13085,86294
clean,raw_0006.txt,0006,2802,92858,560122
clean,raw_0007.txt,0007,3228,77099,496470
clean,raw_0008.txt,0008,1240,41662,261846
clean,raw_0009.txt,0009,2219,69867,424016
clean,raw_0010.txt,0010,2182,65971,432822
clean,raw_0011.txt,0011,727,20780,141118
clean,raw_0012.txt,0012,111,3480,21841
clean,raw_0013.txt,0013,697,19649,125178
clean,raw_0014.txt,0014,748,20459,132855
clean,raw_0015.txt,0015,36,825,5217
clean,raw_0016.txt,0016,28,497,3088
clean,raw_0017.txt,0017,704,19041,126778
clean,raw_0018.txt,0018,394,9848,66755
clean,raw_0019.txt,0019,465,22257,142853
clean,raw_0020.txt,0020,118,3426,22243
clean,raw_0021.txt,0021,97,2729,16579
clean,raw_0022.txt,0022,150,3138,20502
clean,raw_0023.txt,0023,519,13434,86248
clean,raw_0024.txt,0024,429,11329,75151
clean,raw_0025.txt,0025,840,28511,184427
clean,raw_0026.txt,0026,142,3336,20927
clean,raw_0027.txt,0027,294,9133,57572
clean,raw_0028.txt,0028,445,11820,78220
clean,raw_0029.txt,0029,160,3865,25083
clean,raw_0030.txt,0030,403,11376,74383
clean,raw_0031.txt,0031,304,7069,47435
clean,raw_0032.txt,0032,575,16192,109655
clean,raw_0033.txt,0033,435,9906,63764
clean,raw_0034.txt,0034,360,14950,99442
clean,raw_0035.txt,0035,1101,32667,217223
clean,raw_0036.txt,0036,486,20350,135831
clean,raw_0037.txt,0037,340,8376,54496
clean,raw_0038.txt,0038,133,3687,23476
clean,raw_0039.txt,0039,292,10173,66135
clean,raw_0040.txt,0040,76,2549,15505
clean,raw_0041.txt,0041,293,7225,48421
clean,raw_0042.txt,0042,222,5471,35821
clean,raw_0043.txt,0043,655,17497,113154
clean,raw_0044.txt,0044,420,9684,61882
clean,raw_0045.txt,0045,322,7043,45732
clean,raw_0046.txt,0046,399,9368,59912
clean,raw_0047.txt,0047,637,19627,128108
clean,raw_0048.txt,0048,540,14274,93909
clean,raw_0049.txt,0049,484,13148,82427
clean,raw_0050.txt,0050,1470,42875,269208
clean,raw_0051.txt,0051,74,1955,12656
clean,raw_0052.txt,0052,1539,35842,237225
clean,raw_0053.txt,0053,2010,26900,168958
clean,raw_0054.txt,0054,2409,28410,180464
clean,raw_0055.txt,0055,2179,34215,214307
clean,raw_0056.txt,0056,1622,21091,133696
clean,raw_0057.txt,0057,1534,26220,166157
clean,raw_0058.txt,0058,1613,26987,172014
clean,raw_0059.txt,0059,1752,29896,188344
clean,raw_0060.txt,0060,1614,26149,161085
clean,raw_0061.txt,0061,1617,24686,158212
clean,raw_0062.txt,0062,1675,22237,140771
clean,raw_0063.txt,0063,1977,27398,174115
clean,raw_0064.txt,0064,1613,24225,152711
clean,raw_0065.txt,0065,2438,31881,202416
clean,raw_0066.txt,0066,1795,24267,151274
clean,raw_0067.txt,0067,2043,26924,170217
clean,raw_0068.txt,0068,1959,22599,141198
clean,raw_0069.txt,0069,1725,23532,148850
clean,raw_0070.txt,0070,1885,23803,148578
clean,raw_0071.txt,0071,1047,21136,133845
clean,raw_0072.txt,0072,1672,36118,229207
clean,raw_0073.txt,0073,1416,22508,141534
clean,raw_0074.txt,0074,1723,21475,134717
clean,raw_0075.txt,0075,1344,23489,149730
clean,raw_0076.txt,0076,1773,25698,161553
clean,raw_0077.txt,0077,1693,22859,141831
clean,raw_0078.txt,0078,1446,23914,151186
clean,raw_0079.txt,0079,1779,23696,150128
clean,raw_0080.txt,0080,1374,22022,137140
clean,raw_0081.txt,0081,1627,23256,145836
clean,raw_0082.txt,0082,1795,22026,135898
clean,raw_0083.txt,0083,1547,20420,129371
clean,raw_0084.txt,0084,1548,26074,162355
clean,raw_0085.txt,0085,1719,23387,148431
clean,raw_0086.txt,0086,1644,21746,136402
clean,raw_0087.txt,0087,2451,48529,305994
clean,raw_0088.txt,0088,1491,22676,144190
clean,raw_0089.txt,0089,2648,43532,273186
clean,raw_0090.txt,0090,1691,28761,183265
clean,raw_0091.txt,0091,1244,19917,125848
clean,raw_0092.txt,0092,4046,99469,637053
clean,raw_0093.txt,0093,1734,25060,156762
clean,raw_0094.txt,0094,1405,22176,139352
clean,raw_0095.txt,0095,1614,22303,140722
clean,raw_0096.txt,0096,2481,44266,278929
clean,raw_0097.txt,0097,1372,22035,138947
clean,raw_0098.txt,0098,1582,22962,147716
clean,raw_0099.txt,0099,1758,25943,159594
clean,raw_0100.txt,0100,1646,23680,148100
clean,raw_0101.txt,0101,1486,23524,146079
clean,raw_0102.txt,0102,2632,42469,267703
clean,raw_0103.txt,0103,2325,27370,172190
clean,raw_0104.txt,0104,1545,24576,154082
clean,raw_0105.txt,0105,2466,31737,201549
clean,raw_0106.txt,0106,1902,26971,166603
clean,raw_0107.txt,0107,1542,21831,136966
clean,raw_0108.txt,0108,1522,29028,183256
clean,raw_0109.txt,0109,1740,24892,153886
clean,raw_0110.txt,0110,1573,24286,151718
clean,raw_0111.txt,0111,1494,23977,151240
clean,raw_0112.txt,0112,1693,22100,139844
clean,raw_0113.txt,0113,1414,22158,140573
clean,raw_0114.txt,0114,1664,21108,132883
clean,raw_0115.txt,0115,1857,39203,250723
clean,raw_0116.txt,0116,1630,24126,150202
clean,raw_0117.txt,0117,1463,22717,146011
clean,raw_0118.txt,0118,1805,26796,168187
clean,raw_0119.txt,0119,1561,42462,277696
clean,raw_0120.txt,0120,1463,21424,133915
clean,raw_0121.txt,0121,1560,24962,156702
clean,raw_0122.txt,0122,1576,23657,147825
clean,raw_0123.txt,0123,1519,22062,137935
clean,raw_0124.txt,0124,1336,24638,154421
clean,raw_0125.txt,0125,2317,35908,225599
clean,raw_0126.txt,0126,1922,23209,144421
clean,raw_0127.txt,0127,1632,22425,142014
clean,raw_0128.txt,0128,1691,23176,143772
clean,raw_0129.txt,0129,1583,20852,131217
clean,raw_0130.txt,0130,2037,26483,165117
clean,raw_0131.txt,0131,2127,23927,149347
clean,raw_0132.txt,0132,5093,85155,529928
clean,raw_0133.txt,0133,1460,23039,154009
clean,raw_0134.txt,0134,1488,21277,134211
clean,raw_0135.txt,0135,1207,19243,122691
clean,raw_0136.txt,0136,2364,30788,194069
clean,raw_0137.txt,0137,4115,63234,403773
clean,raw_0138.txt,0138,2664,41397,261850
clean,raw_0139.txt,0139,3779,65835,410428
clean,raw_0140.txt,0140,2023,27463,173646
clean,raw_0141.txt,0141,1560,23792,148750
clean,raw_0142.txt,0142,1600,23880,149321
clean,raw_0143.txt,0143,1505,25978,160502
clean,raw_0144.txt,0144,1975,23391,146218
