stage,source_pdf,base,lines,words,chars
raw,0001.pdf,0001,5445,52675,344041
raw,0002.pdf,0002,20438,170028,1073667
raw,0003.pdf,0003,2140,15764,105782
raw,0004.pdf,0004,1253,7528,51263
raw,0005.pdf,0005,1711,13228,89434
raw,0006.pdf,0006,10396,94253,589675
raw,0007.pdf,0007,11341,77573,515112
raw,0008.pdf,0008,5002,41742,270563
raw,0009.pdf,0009,8389,70909,441564
raw,0010.pdf,0010,7398,66100,443394
raw,0011.pdf,0011,3295,20890,145967
raw,0012.pdf,0012,460,3491,22527
raw,0013.pdf,0013,2586,19870,130148
raw,0014.pdf,0014,2768,20512,136806
raw,0015.pdf,0015,129,827,5438
raw,0016.pdf,0016,88,492,3199
raw,0017.pdf,0017,2415,19086,130413
raw,0018.pdf,0018,1792,9962,69602
raw,0019.pdf,0019,2181,22282,146931
raw,0020.pdf,0020,477,3437,22917
raw,0021.pdf,0021,360,2779,17396
raw,0022.pdf,0022,472,3153,21224
raw,0023.pdf,0023,1770,13354,88630
raw,0024.pdf,0024,1544,11368,77750
raw,0025.pdf,0025,3717,28604,190367
raw,0026.pdf,0026,521,3778,24193
raw,0027.pdf,0027,1234,9236,59614
raw,0028.pdf,0028,1522,11896,80757
raw,0029.pdf,0029,590,3864,25861
raw,0030.pdf,0030,1459,11402,76414
raw,0031.pdf,0031,1099,7093,49046
raw,0032.pdf,0032,2171,16116,112606
raw,0033.pdf,0033,1404,9998,66183
raw,0034.pdf,0034,1612,14980,101623
raw,0035.pdf,0035,4395,33142,226377
raw,0036.pdf,0036,2045,20426,138538
raw,0037.pdf,0037,1163,8409,56305
raw,0038.pdf,0038,488,3703,24193
raw,0039.pdf,0039,1307,12333,81388
raw,0040.pdf,0040,275,2549,15908
raw,0041.pdf,0041,1048,7240,49879
raw,0042.pdf,0042,822,5491,37150
raw,0043.pdf,0043,2277,17546,116469
raw,0044.pdf,0044,1363,9652,63775
raw,0045.pdf,0045,1174,7057,47466
raw,0046.pdf,0046,1227,9367,61709
raw,0047.pdf,0047,2450,19558,132337
raw,0048.pdf,0048,2004,14325,97076
raw,0049.pdf,0049,1782,13423,86403
raw,0050.pdf,0050,5518,42747,278123
raw,0051.pdf,0051,280,1934,13054
raw,0052.pdf,0052,11001,38696,272322
raw,0053.pdf,0053,8542,27719,197212
raw,0054.pdf,0054,8164,29959,253704
raw,0055.pdf,0055,9073,37359,255512
raw,0056.pdf,0056,7100,22551,167628
raw,0057.pdf,0057,5321,27764,188185
raw,0058.pdf,0058,7428,29276,202522
raw,0059.pdf,0059,6805,31122,208631
raw,0060.pdf,0060,6467,26940,186898
raw,0061.pdf,0061,14175,25586,195003
raw,0062.pdf,0062,7988,22982,170443
raw,0063.pdf,0063,9963,28634,203494
raw,0064.pdf,0064,9129,25371,177919
raw,0065.pdf,0065,11679,33299,247486
raw,0066.pdf,0066,7019,25490,193721
raw,0067.pdf,0067,10638,28415,206024
raw,0068.pdf,0068,10285,23615,187873
raw,0069.pdf,0069,5613,25166,214708
raw,0070.pdf,0070,7845,24436,179166
raw,0071.pdf,0071,4410,22416,148272
raw,0072.pdf,0072,6338,38203,271449
raw,0073.pdf,0073,5245,23365,197896
raw,0074.pdf,0074,8743,22208,161032
raw,0075.pdf,0075,5778,24598,205276
raw,0076.pdf,0076,9077,26937,192534
raw,0077.pdf,0077,10117,24117,171628
raw,0078.pdf,0078,5031,24818,182024
raw,0079.pdf,0079,7471,24775,181605
raw,0080.pdf,0080,5146,23199,153795
raw,0081.pdf,0081,8098,24307,174223
raw,0082.pdf,0082,10593,25347,179105
raw,0083.pdf,0083,7582,21567,152943
raw,0084.pdf,0084,5167,27361,197721
raw,0085.pdf,0085,6825,24843,173385
