stage,source_raw,base,lines,words,chars
clean,raw_0001.txt,0001,682,44458,275508
clean,raw_0002.txt,0002,3890,134183,877588
clean,raw_0003.txt,0003,3684,115748,719999
clean,raw_0004.txt,0004,708,23879,149829
clean,raw_0005.txt,0005,1853,62958,395945
clean,raw_0006.txt,0006,2247,85735,551673
clean,raw_0007.txt,0007,1381,169899,1065508
clean,raw_0008.txt,0008,2307,103168,686422
clean,raw_0009.txt,0009,1533,66493,397311
clean,raw_0010.txt,0010,623,25347,160832
clean,raw_0011.txt,0011,54,2780,17342
clean,raw_0012.txt,0012,210,5255,33417
clean,raw_0013.txt,0013,48,1347,8795
clean,raw_0014.txt,0014,79,2809,17051
clean,raw_0015.txt,0015,373,15097,102124
clean,raw_0016.txt,0016,253,7520,48422
clean,raw_0017.txt,0017,412,17519,114549
clean,raw_0018.txt,0018,222,8213,52476
clean,raw_0019.txt,0019,632,24381,155241
clean,raw_0020.txt,0020,322,12397,80762
clean,raw_0021.txt,0021,22,861,5334
clean,raw_0022.txt,0022,146,8101,53460
clean,raw_0023.txt,0023,305,8407,54126
clean,raw_0024.txt,0024,667,27689,183491
clean,raw_0025.txt,0025,170,6096,39121
clean,raw_0026.txt,0026,88,3243,20315
clean,raw_0027.txt,0027,178,14703,95084
clean,raw_0028.txt,0028,60,1347,8494
clean,raw_0029.txt,0029,435,14799,96611
clean,raw_0030.txt,0030,83,3041,20141
clean,raw_0031.txt,0031,19,697,4274
clean,raw_0032.txt,0032,315,11372,73277
clean,raw_0033.txt,0033,220,6685,42988
clean,raw_0034.txt,0034,72,3147,19236
clean,raw_0035.txt,0035,286,9174,58226
clean,raw_0036.txt,0036,75,2753,18116
clean,raw_0037.txt,0037,362,10758,68943
clean,raw_0038.txt,0038,490,20845,134950
clean,raw_0039.txt,0039,145,6648,42781
clean,raw_0040.txt,0040,145,6582,44703
clean,raw_0041.txt,0041,192,5802,38242
clean,raw_0042.txt,0042,137,4357,28881
clean,raw_0043.txt,0043,303,9164,59995
clean,raw_0044.txt,0044,168,9121,58591
clean,raw_0045.txt,0045,218,9684,62530
clean,raw_0046.txt,0046,159,5190,32988
clean,raw_0047.txt,0047,666,27388,178836
clean,raw_0048.txt,0048,148,5368,35219
clean,raw_0049.txt,0049,686,32021,210308
clean,raw_0050.txt,0050,1262,38601,253522
clean,raw_0051.txt,0051,321,12066,76480
clean,raw_0052.txt,0052,443,14579,92322
clean,raw_0053.txt,0053,834,32651,213663
clean,raw_0054.txt,0054,521,16974,115606
clean,raw_0055.txt,0055,679,24287,155688
clean,raw_0056.txt,0056,176,8337,53497
clean,raw_0057.txt,0057,257,5746,37878
clean,raw_0058.txt,0058,204,6403,41449
clean,raw_0059.txt,0059,306,8923,57841
clean,raw_0060.txt,0060,300,26576,171418
clean,raw_0061.txt,0061,107,3639,23596
clean,raw_0062.txt,0062,456,18025,111427
clean,raw_0063.txt,0063,95,2896,18265
clean,raw_0064.txt,0064,42,1637,10548
clean,raw_0065.txt,0065,154,4786,30478
clean,raw_0066.txt,0066,346,12470,83593
clean,raw_0067.txt,0067,859,34444,214492
clean,raw_0068.txt,0068,396,18679,123698
clean,raw_0069.txt,0069,490,32176,219148
clean,raw_0070.txt,0070,773,27369,178383
clean,raw_0071.txt,0071,497,19329,119494
clean,raw_0072.txt,0072,500,14259,92190
clean,raw_0073.txt,0073,1033,41950,265062
clean,raw_0074.txt,0074,85,6686,42958
clean,raw_0075.txt,0075,87,3989,25624
clean,raw_0076.txt,0076,117,4718,29718
clean,raw_0077.txt,0077,123,5841,37375
clean,raw_0078.txt,0078,305,9766,65118
clean,raw_0079.txt,0079,348,13210,86826
clean,raw_0080.txt,0080,222,5862,39104
clean,raw_0081.txt,0081,151,4472,29662
clean,raw_0082.txt,0082,132,4367,28022
clean,raw_0083.txt,0083,178,4228,26744
clean,raw_0084.txt,0084,91,5845,37683
clean,raw_0085.txt,0085,111,2995,19683
clean,raw_0086.txt,0086,283,9701,63692
clean,raw_0087.txt,0087,82,2312,15169
clean,raw_0088.txt,0088,129,10534,68153
clean,raw_0089.txt,0089,142,4163,27270
clean,raw_0090.txt,0090,144,4960,31998
clean,raw_0091.txt,0091,133,3230,20705
clean,raw_0092.txt,0092,50,1831,11473
clean,raw_0093.txt,0093,114,2427,16162
clean,raw_0094.txt,0094,99,2543,16796
clean,raw_0095.txt,0095,130,2838,18752
clean,raw_0096.txt,0096,93,2554,16271
clean,raw_0097.txt,0097,117,4629,30862
clean,raw_0098.txt,0098,127,3258,21153
clean,raw_0099.txt,0099,119,3791,25348
clean,raw_0100.txt,0100,121,3388,22709
clean,raw_0101.txt,0101,90,3138,20411
clean,raw_0102.txt,0102,131,3354,22173
clean,raw_0103.txt,0103,100,2371,15610
clean,raw_0104.txt,0104,135,3075,20245
clean,raw_0105.txt,0105,142,3580,23566
clean,raw_0106.txt,0106,143,3333,22284
clean,raw_0107.txt,0107,31,1510,10265
clean,raw_0108.txt,0108,132,3283,21143
clean,raw_0109.txt,0109,85,2225,14461
clean,raw_0110.txt,0110,114,3734,23985
clean,raw_0111.txt,0111,160,4170,28014
clean,raw_0112.txt,0112,51,7692,49677
clean,raw_0113.txt,0113,60,1713,11265
clean,raw_0114.txt,0114,60,1715,11305
clean,raw_0115.txt,0115,46,1655,10901
clean,raw_0116.txt,0116,46,1693,11205
clean,raw_0117.txt,0117,40,1777,11638
clean,raw_0118.txt,0118,46,1693,11091
clean,raw_0119.txt,0119,46,1655,10939
clean,raw_0120.txt,0120,60,1715,11324
clean,raw_0121.txt,0121,93,1737,11384
clean,raw_0122.txt,0122,46,1655,10901
clean,raw_0123.txt,0123,46,1655,10939
clean,raw_0124.txt,0124,60,1715,11381
clean,raw_0125.txt,0125,94,1703,11135
clean,raw_0126.txt,0126,46,1656,10945
clean,raw_0127.txt,0127,91,1738,11375
clean,raw_0128.txt,0128,46,1655,10939
clean,raw_0129.txt,0129,46,1655,10958
clean,raw_0130.txt,0130,48,1736,11589
clean,raw_0131.txt,0131,60,1715,11381
clean,raw_0132.txt,0132,60,1715,11324
clean,raw_0133.txt,0133,96,1824,12107
clean,raw_0134.txt,0134,51,1866,12474
clean,raw_0135.txt,0135,96,1750,11510
clean,raw_0136.txt,0136,95,1802,11797
clean,raw_0137.txt,0137,96,1770,11610
clean,raw_0138.txt,0138,94,1703,11174
clean,raw_0139.txt,0139,96,1751,11497
clean,raw_0140.txt,0140,93,1756,11466
clean,raw_0141.txt,0141,45,1655,10959
clean,raw_0142.txt,0142,93,1757,11341
clean,raw_0143.txt,0143,96,1751,11495
clean,raw_0144.txt,0144,96,1743,11432
clean,raw_0145.txt,0145,46,1655,11014
clean,raw_0146.txt,0146,46,1674,11034
clean,raw_0147.txt,0147,91,1704,11228
clean,raw_0148.txt,0148,96,1814,11662
clean,raw_0149.txt,0149,93,1780,11505
clean,raw_0150.txt,0150,96,1750,11488
clean,raw_0151.txt,0151,93,1747,11422
clean,raw_0152.txt,0152,46,1680,11096
clean,raw_0153.txt,0153,46,1655,10977
clean,raw_0154.txt,0154,87,1597,10576
clean,raw_0155.txt,0155,96,1751,11502
clean,raw_0156.txt,0156,96,1751,11495
clean,raw_0157.txt,0157,46,1655,10977
clean,raw_0158.txt,0158,46,1771,11719
clean,raw_0159.txt,0159,96,1751,11457
clean,raw_0160.txt,0160,46,1655,10958
clean,raw_0161.txt,0161,94,2064,13508
clean,raw_0162.txt,0162,93,1751,11551
clean,raw_0163.txt,0163,116,2950,19712
clean,raw_0164.txt,0164,96,1751,11494
clean,raw_0165.txt,0165,185,2750,18635
clean,raw_0166.txt,0166,93,1716,11288
clean,raw_0167.txt,0167,46,1655,10958
clean,raw_0168.txt,0168,46,1655,10920
clean,raw_0169.txt,0169,48,1657,10907
clean,raw_0170.txt,0170,45,1685,11181
clean,raw_0171.txt,0171,93,1713,11295
clean,raw_0172.txt,0172,46,1655,10901
clean,raw_0173.txt,0173,48,1657,10964
clean,raw_0174.txt,0174,46,1655,10882
clean,raw_0175.txt,0175,45,1710,11137
clean,raw_0176.txt,0176,60,1772,11609
clean,raw_0177.txt,0177,109,2035,13259
clean,raw_0178.txt,0178,46,1731,11300
clean,raw_0179.txt,0179,46,1693,11091
clean,raw_0180.txt,0180,94,1722,11248
clean,raw_0181.txt,0181,46,1674,10996
clean,raw_0182.txt,0182,96,1751,11458
clean,raw_0183.txt,0183,100,2448,16400
clean,raw_0184.txt,0184,87,1597,10576
clean,raw_0185.txt,0185,60,1715,11343
clean,raw_0186.txt,0186,93,1741,11449
clean,raw_0187.txt,0187,95,1785,11762
clean,raw_0188.txt,0188,60,1715,11419
clean,raw_0189.txt,0189,94,1698,11125
clean,raw_0190.txt,0190,46,1655,10977
clean,raw_0191.txt,0191,102,2346,14982
clean,raw_0192.txt,0192,46,1693,11111
clean,raw_0193.txt,0193,93,1735,11393
clean,raw_0194.txt,0194,60,1715,11381
clean,raw_0195.txt,0195,60,1715,11400
clean,raw_0196.txt,0196,94,1703,11173
clean,raw_0197.txt,0197,60,1715,11381
clean,raw_0198.txt,0198,93,1737,11404
clean,raw_0199.txt,0199,45,1655,11015
clean,raw_0200.txt,0200,46,1655,10996
clean,raw_0201.txt,0201,106,1966,12915
clean,raw_0202.txt,0202,92,1666,11070
clean,raw_0203.txt,0203,48,1656,10941
clean,raw_0204.txt,0204,92,1753,11504
clean,raw_0205.txt,0205,45,1676,11097
clean,raw_0206.txt,0206,97,2110,13894
clean,raw_0207.txt,0207,46,1655,10958
clean,raw_0208.txt,0208,59,1765,11790
clean,raw_0209.txt,0209,122,2571,17036
clean,raw_0210.txt,0210,93,1736,11390
clean,raw_0211.txt,0211,60,1753,11438
clean,raw_0212.txt,0212,114,2025,13422
clean,raw_0213.txt,0213,130,2610,17232
clean,raw_0214.txt,0214,96,1789,11611
clean,raw_0215.txt,0215,46,1674,11053
clean,raw_0216.txt,0216,46,1674,11053
clean,raw_0217.txt,0217,46,1655,10958
clean,raw_0218.txt,0218,93,1737,11429
clean,raw_0219.txt,0219,96,1770,11618
clean,raw_0220.txt,0220,40,1744,11532
clean,raw_0221.txt,0221,93,1795,11840
clean,raw_0222.txt,0222,58,1713,11372
clean,raw_0223.txt,0223,130,2892,19034
clean,raw_0224.txt,0224,72,2403,15503
clean,raw_0225.txt,0225,99,2422,15975
clean,raw_0226.txt,0226,129,3844,24901
clean,raw_0227.txt,0227,201,8109,51429
clean,raw_0228.txt,0228,220,7440,46470
clean,raw_0229.txt,0229,121,4589,29982
clean,raw_0230.txt,0230,476,16452,104325
clean,raw_0231.txt,0231,69,1514,10030
clean,raw_0232.txt,0232,381,13155,83873
clean,raw_0233.txt,0233,231,6482,40850
clean,raw_0234.txt,0234,147,4397,27878
clean,raw_0235.txt,0235,33,1547,9168
