num_est,file_num,law_name,link
18,0001,Constitución Política del Estado de Nayarit,https://mexico.justia.com/estatales/nay/constitucion-politica-del-estado-libre-y-soberano-de-nayarit/
18,0002,Código Civil para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/codigos/codigo-civil-para-el-estado-de-nayarit/
18,0003,Código de Procedimientos Civiles para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/codigos/codigo-de-procedimientos-civiles-para-el-estado-de-nayarit/
18,0004,Código Fiscal del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/codigos/codigo-fiscal-del-estado-de-nayarit/
18,0005,Código Penal para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/codigos/codigo-penal-para-el-estado-de-nayarit/
18,0006,Ley Arancelaria de los Abogados para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-arancelaria-de-los-abogados-para-el-estado-de-nayarit/
18,0007,"Ley de Categorías Políticas para las Poblaciones que Forman el Estado de Nayarit, en Relación con su División Política Territorial",https://mexico.justia.com/estatales/nayarit/leyes/ley-categorias-politicas-para-las-poblaciones-que-forman-el-estado-de-nayarit-en-relacion-con-su-division-politica-territorial/
18,0008,Ley de Acceso de las Mujeres a una Vida Libre de Violencia para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-acceso-de-las-mujeres-a-una-vida-libre-de-violencia-para-el-estado-de-nayarit/
18,0009,"Ley de Adquisiciones, Arrendamientos y Prestación de Servicios del Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-de-adquisiciones-arrendamientos-y-prestacion-de-servicios-del-estado-de-nayarit/
18,0010,Ley de Agua Potable y Alcantarillado del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-agua-potable-y-alcantarillado-del-estado-de-nayarit/
18,0011,Ley de Amnistía del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-amnistia-del-estado-de-nayarit/
18,0012,Ley de Archivos del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-archivos-del-estado-de-nayarit/
18,0013,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-de-asentamientos-humanos-ordenamiento-territorial-y-desarrollo-urbano-para-el-estado-de-nayarit/
18,0014,Ley de Asociaciones Público Privadas del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-asociaciones-publico-privadas-del-estado-de-nayarit/
18,0015,Ley de Atención y Protección a Migrantes y sus Familias del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-atencion-y-proteccion-a-migrantes-y-sus-familias-del-estado-de-nayarit/
18,0016,Ley de Austeridad para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-austeridad-para-el-estado-de-nayarit/
18,0017,Ley de Beneméritos del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-benemeritos-del-estado-de-nayarit/
18,0018,Ley de Bienes del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-bienes-del-estado-de-nayarit/
18,0019,Ley de Catastro para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-catastro-para-el-estado-de-nayarit/
18,0020,"Ley de Ciencia, Tecnología e Innovación del Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-de-ciencia-tecnologia-e-innovacion-del-estado-de-nayarit/
18,0021,"Ley de Conservación, Protección y Puesta en Valor del Patrimonio Histórico y Cultural del Estado de Nayarit",https://mexico.justia.com/estatales/nayarit/leyes/ley-de-conservacion-proteccion-y-puesta-en-valor-del-patrimonio-historico-y-cultural-del-estado-de-nayarit/
18,0022,Ley de Control Constitucional del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-control-constitucional-del-estado-de-nayarit/
18,0023,Ley de Coordinación Fiscal y de Gasto Público del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-coordinacion-fiscal-y-de-gasto-publico-del-estado-de-nayarit/
18,0024,Ley de Coordinación Metropolitana del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-coordinacion-metropolitana-del-estado-de-nayarit/
18,0025,Ley de Cultura Física y Deporte para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-cultura-fisica-y-deporte-para-el-estado-de-nayarit/
18,0026,Ley de Cultura y Justicia Cívica para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-cultura-y-justicia-civica-para-el-estado-de-nayarit/
18,0027,Ley de Declaración Especial de Ausencia para Personas Desaparecidas del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-declaracion-especial-de-ausencia-para-personas-desaparecidas-del-estado-de-nayarit/
18,0028,Ley de Defensoría Pública y Asistencia Jurídica para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-defensoria-publica-y-asistencia-juridica-para-el-estado-de-nayarit/
18,0029,Ley de Derechos de los Enfermos en Etapa Terminal para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-derechos-de-los-enfermos-en-etapa-terminal-para-el-estado-de-nayarit/
18,0030,Ley de Derechos y Cultura Indígena del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-derechos-y-cultura-indigena-del-estado-de-nayarit/
18,0031,Ley de Derechos y Justicia Laboral para los Trabajadores al Servicio del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-derechos-y-justicia-laboral-para-los-trabajadores-al-servicio-del-estado-de-nayarit/
18,0032,Ley de Desarrollo Cultural para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-desarrollo-cultural-para-el-estado-de-nayarit/
18,0033,Ley de Desarrollo Forestal Sustentable para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-desarrollo-forestal-sustentable-para-el-estado-de-nayarit/
18,0034,Ley de Deuda Pública del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-deuda-publica-del-estado-de-nayarit/
18,0035,Ley de División Territorial del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-division-territorial-para-el-estado-de-nayarit/
18,0036,Ley de Educación del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-educacion-del-estado-de-nayarit/
18,0037,Ley de Educación Superior del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-educacion-superior-del-estado-de-nayarit/
18,0038,Ley de Empresas Públicas Descentralizadas del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-empresas-publicas-descentralizadas-del-estado-de-nayarit/
18,0039,Ley de Entrega Recepción de la Administración Pública del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-entrega-recepcion-de-la-administracion-publica-del-estado-de-nayarit/
18,0040,Ley de Expropiación del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-expropiacion-del-estado-de-nayarit/
18,0041,Ley de Firma Electrónica Avanzada para el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-firma-electronica-avanzada-para-el-estado-de-nayarit/
18,0042,Ley de Fiscalización y Rendición de Cuentas del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fiscalizacion-y-rendicion-de-cuentas-del-estado-de-nayarit/
18,0043,Ley de Fomento a las Actividades de las Organizaciones de la Sociedad Civil en el Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fomento-a-las-actividades-de-las-organizaciones-de-la-sociedad-civil-en-el-estado-de-nayarit/
18,0044,Ley de Fomento al Turismo del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fomento-al-turismo-del-estado-de-nayarit/
18,0045,Ley de Fomento para la Creación de Libros y la Lectura del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fomento-para-la-creacion-de-libros-y-la-lectura-del-estado-de-nayarit/
18,0046,Ley de Fraccionamientos y Acciones de Urbanización del Estado de Nayarit,https://mexico.justia.com/estatales/nayarit/leyes/ley-de-fraccionamientos-y-acciones-de-urbanizacion-del-estado-de-nayarit/
