stage,source_raw,base,lines,words,chars
clean,raw_0001.txt,0001,2039,63844,399616
clean,raw_0002.txt,0002,5977,155321,927505
clean,raw_0003.txt,0003,190,5242,33688
clean,raw_0004.txt,0004,3473,96822,590629
clean,raw_0005.txt,0005,1356,47363,296286
clean,raw_0006.txt,0006,2880,74033,442858
clean,raw_0007.txt,0007,1716,52613,344368
clean,raw_0008.txt,0008,886,22893,144401
clean,raw_0009.txt,0009,640,20033,128863
clean,raw_0010.txt,0010,673,22420,145816
clean,raw_0011.txt,0011,411,11447,73299
clean,raw_0012.txt,0012,55,1817,11322
clean,raw_0013.txt,0013,106,2691,16545
clean,raw_0014.txt,0014,580,15587,104035
clean,raw_0015.txt,0015,3493,97801,646258
clean,raw_0016.txt,0016,580,16287,105667
clean,raw_0017.txt,0017,438,10972,71754
clean,raw_0018.txt,0018,495,12380,81822
clean,raw_0019.txt,0019,385,10855,68289
clean,raw_0020.txt,0020,148,4931,30687
clean,raw_0021.txt,0021,301,7025,44743
clean,raw_0022.txt,0022,860,22041,147039
clean,raw_0023.txt,0023,483,12443,85428
clean,raw_0024.txt,0024,253,6306,40664
clean,raw_0025.txt,0025,900,26796,174737
clean,raw_0026.txt,0026,8612,787612,4672363
clean,raw_0027.txt,0027,31,803,5079
clean,raw_0028.txt,0028,121,3176,20361
clean,raw_0029.txt,0029,67,1827,11079
clean,raw_0030.txt,0030,591,20232,131929
clean,raw_0031.txt,0031,377,9060,58179
clean,raw_0032.txt,0032,306,7066,44719
clean,raw_0033.txt,0033,57,1160,7321
clean,raw_0034.txt,0034,343,8274,53701
clean,raw_0035.txt,0035,341,8258,53553
clean,raw_0036.txt,0036,55,1143,7046
clean,raw_0037.txt,0037,1111,30724,202170
clean,raw_0038.txt,0038,1988,47917,307405
clean,raw_0039.txt,0039,1395,36915,230876
clean,raw_0040.txt,0040,39,1085,6726
clean,raw_0041.txt,0041,237,6426,42456
clean,raw_0044.txt,0044,201,4514,29880
clean,raw_0045.txt,0045,254,7292,47526
clean,raw_0046.txt,0046,100,2915,18515
clean,raw_0047.txt,0047,1098,33451,208881
clean,raw_0048.txt,0048,683,16553,107705
clean,raw_0049.txt,0049,472,11312,71354
clean,raw_0050.txt,0050,305,8799,55900
clean,raw_0051.txt,0051,229,5131,33389
clean,raw_0052.txt,0052,194,4278,27698
clean,raw_0053.txt,0053,431,10429,69211
clean,raw_0054.txt,0054,329,7716,49060
clean,raw_0055.txt,0055,483,11659,73972
clean,raw_0056.txt,0056,190,4562,30111
clean,raw_0057.txt,0057,1306,39821,256951
clean,raw_0058.txt,0058,331,10550,68777
clean,raw_0059.txt,0059,1987,54829,353793
clean,raw_0060.txt,0060,55,1170,7410
clean,raw_0061.txt,0061,663,21208,134578
clean,raw_0062.txt,0062,415,11076,71544
clean,raw_0063.txt,0063,57,1388,8430
clean,raw_0064.txt,0064,200,4577,29079
clean,raw_0065.txt,0065,363,9426,60267
clean,raw_0066.txt,0066,321,8774,58263
