stage,part,base,start_line,lines,words,chars
split,decreto,0001,0,3,38,214
split,ley,0001,3,998,37866,245979
split,transitorios,0001,1001,1038,25940,153421
split,decreto,0002,0,7,79,479
split,ley,0002,7,5645,148623,887805
split,transitorios,0002,5652,325,6619,39219
split,decreto,0003,0,8,103,581
split,ley,0003,8,170,4901,31640
split,transitorios,0003,178,12,238,1465
split,decreto,0004,0,7,104,636
split,ley,0004,7,3214,91243,557197
split,transitorios,0004,3221,252,5475,32794
split,decreto,0005,0,7,80,471
split,ley,0005,7,1241,45157,283278
split,transitorios,0005,1248,108,2126,12535
split,decreto,0006,0,5,81,469
split,ley,0006,5,2355,63137,378962
split,transitorios,0006,2360,520,10815,63425
split,decreto,0007,0,7,80,437
split,ley,0007,7,1560,48588,319999
split,transitorios,0007,1567,149,3945,23930
split,decreto,0008,0,6,96,528
split,ley,0008,6,751,20373,129605
split,transitorios,0008,757,129,2424,14266
split,decreto,0009,0,7,90,513
split,ley,0009,7,572,18599,120391
split,transitorios,0009,579,61,1344,7957
split,decreto,0010,0,6,81,475
split,ley,0010,6,636,21540,140448
split,transitorios,0010,642,31,799,4891
split,decreto,0011,0,8,104,571
split,ley,0011,8,364,10361,66711
split,transitorios,0011,372,39,982,6015
split,decreto,0012,0,5,69,400
split,ley,0012,5,35,1400,8720
split,transitorios,0012,40,15,348,2200
split,decreto,0013,0,6,88,517
split,ley,0013,6,89,2372,14586
split,transitorios,0013,95,11,231,1440
split,decreto,0014,0,6,81,480
split,ley,0014,6,537,14295,95868
split,transitorios,0014,543,37,1211,7685
split,decreto,0015,0,6,98,596
split,ley,0015,6,3435,96354,637266
split,transitorios,0015,3441,52,1349,8394
split,decreto,0016,0,5,72,372
split,ley,0016,5,559,15854,103069
split,transitorios,0016,564,16,361,2224
split,decreto,0017,0,6,93,549
split,ley,0017,6,406,10199,67029
split,transitorios,0017,412,26,680,4174
split,decreto,0018,0,8,135,808
split,ley,0018,8,440,11194,74333
split,transitorios,0018,448,47,1051,6679
split,decreto,0019,0,4,74,432
split,ley,0019,4,343,9751,61631
split,transitorios,0019,347,38,1030,6224
split,decreto,0020,0,7,63,386
split,ley,0020,7,129,4665,29083
split,transitorios,0020,136,12,203,1216
split,decreto,0021,0,7,89,482
split,ley,0021,7,253,5987,38653
split,transitorios,0021,260,41,949,5606
split,decreto,0022,0,7,89,489
split,ley,0022,7,821,21285,142656
split,transitorios,0022,828,32,667,3892
split,decreto,0023,0,7,82,452
split,ley,0023,7,446,12016,82927
split,transitorios,0023,453,30,345,2047
split,decreto,0024,0,8,97,526
split,ley,0024,8,203,5492,35881
split,transitorios,0024,211,42,717,4255
split,decreto,0025,0,7,85,458
split,ley,0025,7,745,23290,153980
split,transitorios,0025,752,148,3421,20297
split,decreto,0026,0,6,74,426
split,ley,0026,6,381,14276,93277
split,transitorios,0026,387,8225,773262,4578658
split,decreto,0027,0,1,10,66
split,ley,0027,1,22,615,3967
split,transitorios,0027,23,8,178,1044
split,decreto,0028,0,5,95,541
split,ley,0028,5,102,2789,18049
split,transitorios,0028,107,14,292,1769
split,decreto,0029,0,7,89,536
split,ley,0029,7,48,1513,9193
split,transitorios,0029,55,12,225,1348
split,decreto,0030,0,6,108,596
split,ley,0030,6,563,19402,126995
split,transitorios,0030,569,22,722,4336
split,decreto,0031,0,6,85,483
split,ley,0031,6,323,8030,52036
split,transitorios,0031,329,48,945,5658
split,decreto,0032,0,7,97,561
split,ley,0032,7,243,5771,37145
split,transitorios,0032,250,56,1198,7011
split,decreto,0033,0,7,95,530
split,ley,0033,7,32,767,4999
split,transitorios,0033,39,18,298,1790
split,decreto,0034,0,7,89,493
split,ley,0034,7,292,7160,46844
split,transitorios,0034,299,44,1025,6362
split,decreto,0035,0,7,74,426
split,ley,0035,7,311,7521,49027
split,transitorios,0035,318,23,663,4098
split,decreto,0036,0,6,83,471
split,ley,0036,6,28,720,4537
split,transitorios,0036,34,21,340,2036
split,decreto,0037,0,6,82,447
split,ley,0037,6,1049,29287,193712
split,transitorios,0037,1055,56,1355,8009
split,decreto,0038,0,7,99,565
split,ley,0038,7,1675,39968,258900
split,transitorios,0038,1682,306,7850,47938
split,decreto,0039,0,7,108,620
split,ley,0039,7,1127,30229,190770
split,transitorios,0039,1134,261,6578,39484
split,decreto,0040,0,7,104,595
split,ley,0040,7,20,736,4681
split,transitorios,0040,27,12,245,1448
split,decreto,0041,0,4,77,411
split,ley,0041,4,203,5531,36952
split,transitorios,0041,207,30,818,5091
split,decreto,0044,0,5,96,523
split,ley,0044,5,165,3548,23954
split,transitorios,0044,170,31,870,5401
split,decreto,0045,0,7,118,644
split,ley,0045,7,219,6193,40850
split,transitorios,0045,226,28,981,6030
split,decreto,0046,0,6,78,471
split,ley,0046,6,81,2553,16324
split,transitorios,0046,87,13,284,1718
split,decreto,0047,0,7,118,667
split,ley,0047,7,1005,30978,193648
split,transitorios,0047,1012,86,2355,14564
split,decreto,0048,0,8,115,636
split,ley,0048,8,651,15900,103731
split,transitorios,0048,659,24,538,3336
split,decreto,0049,0,7,85,495
split,ley,0049,7,425,10135,64251
split,transitorios,0049,432,40,1092,6606
split,decreto,0050,0,5,99,575
split,ley,0050,5,264,7795,49981
split,transitorios,0050,269,36,905,5342
split,decreto,0051,0,7,87,468
split,ley,0051,7,197,4595,30231
split,transitorios,0051,204,25,449,2688
split,decreto,0052,0,8,93,535
split,ley,0052,8,165,3822,24948
split,transitorios,0052,173,21,363,2213
split,decreto,0053,0,5,81,430
split,ley,0053,5,405,9996,66742
split,transitorios,0053,410,21,352,2037
split,decreto,0054,0,8,97,529
split,ley,0054,8,263,6695,43306
