stage,source_pdf,base,lines,words,chars
raw,0001.pdf,0001,8180,63994,410635
raw,0002.pdf,0002,20136,155322,953501
raw,0003.pdf,0003,809,5242,35149
raw,0004.pdf,0004,12262,96822,606118
raw,0005.pdf,0005,5726,47363,303755
raw,0006.pdf,0006,12135,74034,458257
raw,0007.pdf,0007,7158,52744,353767
raw,0008.pdf,0008,3305,22954,148831
raw,0009.pdf,0009,2596,20033,132310
raw,0010.pdf,0010,3081,22476,149784
raw,0011.pdf,0011,1537,11447,75282
raw,0012.pdf,0012,259,1817,11729
raw,0013.pdf,0013,430,2699,17116
raw,0014.pdf,0014,2597,15632,107338
raw,0015.pdf,0015,13375,97801,663198
raw,0016.pdf,0016,2391,16330,108966
raw,0017.pdf,0017,1923,11007,74225
raw,0018.pdf,0018,2167,12418,84663
raw,0019.pdf,0019,1534,10884,70382
raw,0020.pdf,0020,676,4931,31608
raw,0021.pdf,0021,1154,7046,46287
raw,0022.pdf,0022,3450,22041,151410
raw,0023.pdf,0023,1842,12443,87782
raw,0024.pdf,0024,1035,6325,42068
raw,0025.pdf,0025,3571,26796,179312
raw,0026.pdf,0026,499863,853150,7708234
raw,0027.pdf,0027,133,803,5250
raw,0028.pdf,0028,551,3186,21057
raw,0029.pdf,0029,263,1827,11407
raw,0030.pdf,0030,2700,20281,135439
raw,0031.pdf,0031,1428,9086,60106
raw,0032.pdf,0032,1110,7086,46198
raw,0033.pdf,0033,213,1160,7617
raw,0034.pdf,0034,1283,8298,55456
raw,0035.pdf,0035,1351,8258,55700
raw,0036.pdf,0036,203,1143,7317
raw,0037.pdf,0037,4156,30802,207793
raw,0038.pdf,0038,8020,48112,321247
raw,0039.pdf,0039,5362,36926,243404
raw,0040.pdf,0040,163,1085,6934
raw,0041.pdf,0041,910,6426,43645
raw,0044.pdf,0044,784,4529,30920
raw,0045.pdf,0045,1070,7292,48931
raw,0046.pdf,0046,524,2924,19205
raw,0047.pdf,0047,4239,33451,214196
raw,0048.pdf,0048,2713,16553,112118
raw,0049.pdf,0049,1584,11312,73384
raw,0050.pdf,0050,1657,8799,57876
raw,0051.pdf,0051,793,5131,34435
raw,0052.pdf,0052,746,4293,28686
raw,0053.pdf,0053,1636,10459,71347
raw,0054.pdf,0054,1165,7716,50581
raw,0055.pdf,0055,1878,11694,76520
raw,0056.pdf,0056,684,4562,30967
raw,0057.pdf,0057,5291,39821,263670
raw,0058.pdf,0058,1394,10576,70594
raw,0059.pdf,0059,7958,54973,364061
raw,0060.pdf,0060,222,1174,7710
raw,0061.pdf,0061,2641,21208,138217
raw,0062.pdf,0062,1666,11076,73718
raw,0063.pdf,0063,220,1388,8724
raw,0064.pdf,0064,730,4591,30119
raw,0065.pdf,0065,1591,9426,62723
raw,0066.pdf,0066,1341,8799,60032
raw,0067.pdf,0067,823,5119,33709
raw,0068.pdf,0068,1122,6429,43341
raw,0069.pdf,0069,1545,11909,78318
raw,0070.pdf,0070,245,1364,9194
raw,0071.pdf,0071,1161,7195,46704
raw,0072.pdf,0072,1981,13982,92872
raw,0073.pdf,0073,193,1208,7894
raw,0074.pdf,0074,941,6182,40250
raw,0075.pdf,0075,4128,25319,167462
raw,0076.pdf,0076,3361,23948,156722
raw,0077.pdf,0077,1744,10440,68849
raw,0078.pdf,0078,624,4057,27430
raw,0079.pdf,0079,745,5275,34579
raw,0080.pdf,0080,4309,33349,219811
raw,0081.pdf,0081,2304,17882,119186
raw,0082.pdf,0082,1212,7879,53178
raw,0083.pdf,0083,5768,40977,274144
raw,0084.pdf,0084,591,3888,25472
raw,0085.pdf,0085,359,2645,16856
raw,0086.pdf,0086,4614,33196,219693
raw,0087.pdf,0087,3229,23013,150338
raw,0088.pdf,0088,1006,7521,47182
raw,0089.pdf,0089,764,4891,32417
raw,0090.pdf,0090,815,4876,33096
raw,0091.pdf,0091,859,4753,31565
raw,0092.pdf,0092,4320,28064,184048
raw,0093.pdf,0093,1002,6155,40499
raw,0094.pdf,0094,1049,6779,44786
raw,0095.pdf,0095,986,6528,42870
raw,0096.pdf,0096,594,3084,21015
raw,0097.pdf,0097,822,5541,36194
raw,0098.pdf,0098,2325,19706,123400
raw,0099.pdf,0099,496,3141,20548
raw,0100.pdf,0100,1151,7875,51274
raw,0101.pdf,0101,314,1879,12145
raw,0102.pdf,0102,1258,8658,55371
raw,0103.pdf,0103,1809,13730,87439
raw,0104.pdf,0104,988,7082,47112
raw,0105.pdf,0105,1351,11785,78375
raw,0106.pdf,0106,9718,72363,474006
raw,0107.pdf,0107,2538,17185,116565
raw,0108.pdf,0108,5353,27598,183561
raw,0109.pdf,0109,1006,6595,44250
raw,0110.pdf,0110,1565,9832,64130
raw,0111.pdf,0111,2625,20703,142822
raw,0112.pdf,0112,2696,20308,135115
raw,0113.pdf,0113,627,3764,25075
raw,0114.pdf,0114,1313,8133,53396
raw,0115.pdf,0115,359,1933,13274
raw,0116.pdf,0116,3348,22531,145503
raw,0117.pdf,0117,2859,19554,123542
raw,0118.pdf,0118,187,920,6303
raw,0119.pdf,0119,1051,6268,43267
raw,0120.pdf,0120,467,3086,19812
raw,0121.pdf,0121,583,3583,23893
raw,0122.pdf,0122,572,3267,21918
raw,0123.pdf,0123,821,5487,37036
raw,0124.pdf,0124,1099,7561,49734
raw,0125.pdf,0125,3443,21838,141983
raw,0126.pdf,0126,921,5349,36089
raw,0127.pdf,0127,1571,10239,67670
raw,0128.pdf,0128,389,2012,13255
raw,0129.pdf,0129,2243,15548,104351
raw,0130.pdf,0130,2817,21934,141567
raw,0131.pdf,0131,556,3792,24335
raw,0132.pdf,0132,699,4219,27814
raw,0133.pdf,0133,1857,11851,80177
raw,0134.pdf,0134,732,4678,30316
raw,0135.pdf,0135,1097,8016,52376
raw,0136.pdf,0136,1638,10635,70433
raw,0137.pdf,0137,954,6492,42747
raw,0138.pdf,0138,2204,14606,98859
raw,0139.pdf,0139,260,1708,10657
raw,0140.pdf,0140,422,2615,17331
raw,0141.pdf,0141,662,3804,25799
raw,0142.pdf,0142,647,3950,26732
raw,0143.pdf,0143,903,5784,38472
raw,0144.pdf,0144,525,3035,20654
raw,0145.pdf,0145,854,4850,33082
raw,0146.pdf,0146,334,2265,14237
raw,0147.pdf,0147,534,3758,24165
raw,0148.pdf,0148,658,3544,23525
raw,0149.pdf,0149,1551,11071,72074
raw,0150.pdf,0150,617,3330,22604
raw,0151.pdf,0151,826,4498,29793
raw,0152.pdf,0152,677,4274,28671
raw,0153.pdf,0153,329,1751,11656
raw,0154.pdf,0154,479,3105,20534
raw,0155.pdf,0155,420,2396,16011
raw,0156.pdf,0156,656,4380,28713
raw,0157.pdf,0157,382,2240,15002
raw,0158.pdf,0158,252,1403,9433
raw,0159.pdf,0159,404,2571,17112
raw,0160.pdf,0160,851,5225,34486
raw,0161.pdf,0161,636,3813,24782
raw,0162.pdf,0162,425,2765,17671
raw,0163.pdf,0163,221,1364,8717
raw,0164.pdf,0164,795,5205,34070
raw,0165.pdf,0165,654,2973,20069
raw,0166.pdf,0166,695,3926,26280
raw,0167.pdf,0167,680,3981,26681
raw,0168.pdf,0168,896,5561,37347
raw,0169.pdf,0169,629,3382,22671
raw,0170.pdf,0170,602,3234,21703
raw,0171.pdf,0171,668,2969,20064
raw,0172.pdf,0172,249,1829,11573
raw,0173.pdf,0173,547,4416,27888
raw,0174.pdf,0174,881,6344,41339
raw,0175.pdf,0175,997,6644,43733
raw,0176.pdf,0176,953,5915,38147
raw,0177.pdf,0177,208,1171,7595
raw,0178.pdf,0178,1190,8673,56021
raw,0179.pdf,0179,927,6833,44479
raw,0180.pdf,0180,936,6497,42768
raw,0181.pdf,0181,1467,9639,65363
